No.,Question,Domain_최종,,,,
336,"휴대폰소액결제 자동이체의 계약자와 납입자가 상이한 경우, 통신사 순차연결 동의녹취는 납입자에게 동의를 획득하면 자동 연결 되나요? ",보험료납입,,,,
337,"소액결제 실패 시, 따로 알림이 오나요? ",보험료납입,,,,
338,"계약자가 MP가족이라는데, 이 경우 납입자를 MP로 할 수 없나요?",보험료납입,,,,
339,보장성보험은 대면채널이어도 카드 자동이체 다 되는거지?,보험료납입,,,,
340,개인사업자 카드로 자동이체 등록할 때 필요한 서류가 있어?,보험료납입,,,,
341,자동승계카드 종류 알려줘,보험료납입,,,,
342,휴대폰소액결제 승인일이 언제야?,보험료납입,,,,
343,보험료 즉시이체 납입자 범위는?,보험료납입,,,,
344,(무) 안심플러스인덱스유니버셜 상품의 수시추가납입 조건은?,보험료납입,,,,
345,저축성 상품도 카드 RTB 가능한가요?,보험료납입,,,,
346,즉시이체는 아무때나 가능한가요?,보험료납입,,,,
347,증권사 계좌로 RTB 가능한가요?,보험료납입,,,,
348,계좌 rtb 불가한 은행?,보험료납입,,,,
349,연금보험은 휴대폰소액결제로 보험료 납부 가능한가,보험료납입,,,,
350,카드결제할때 얼마부터 할부 가능해?,보험료납입,,,,
351,알티비 안되는 은행이 어디야?,보험료납입,,,,
352,외화계좌에서 rtb 할 수 있나요?,보험료납입,,,,
353,외화계좌 자동이체 오라스화면 코드 알려줘,보험료납입,,,,
354,AIA 평생 안심+달러 유니버셜 종신보험 카드결제 가능한가요?,보험료납입,,,,
355,즉시이체 가능한 업무는?,보험료납입,,,,
356,즉시이체 가능한 최소 금액은?,보험료납입,,,,
357,압류통장에서 즉시이체 가능?,보험료납입,,,,
358,RTB 통장표기 내용은?,보험료납입,,,,
359,현재 납입자가 본인의 계좌로 결제 요청하는 경우에도 녹취가 필요한지?,보험료납입,,,,
360,유앤아이종신보험은 카드자동이체 등록 불가한가요?,보험료납입,,,,
361,"RTB 시도 후 ""사용중인 증권번호입니다""라는 오류가 뜰 때 처리 방법은?",보험료납입,,,,
362,"원화환산 납입 시, 자동이체로 납입된 보험료는 환산 기준일이 언제야?",보험료납입,,,,
363,원화환산 납입된 초회보험료는 환산기준일자가 어떻게돼?,보험료납입,,,,
364,가상 계좌 발급 후 얼마동안 사용가능한가요?,보험료납입,,,,
365,가상 계좌 입금가능시간은?,보험료납입,,,,
366,보험료 납입중지 기능을 설명해줘,보험료납입,,,,
367,골든초이스연금 상품은 일시납입중지 신청을 언제부터 할 수 있어?,보험료납입,,,,
368,변액유니버셜 상품인데 납입중지 기간 설정 가능한가요?,보험료납입,,,,
369,납입중지하면 실효될 일은 없나요?,보험료납입,,,,
370,일시납입중지 최대 기한은?,보험료납입,,,,
371,납입중지 시 필수안내사항은?,보험료납입,,,,
372,에버래스팅 상품 월대체보험료는 어디서 충당하나요?,보험료납입,,,,
373,뉴 부자아이변액유니버셜은 일시납입중지 신청 언제부터 가능한지?,보험료납입,,,,
374," 다이아몬드 웰스 변액연금 5년납 상품인데, 언제부터 일시납입중지 신청 가능한가요?",보험료납입,,,,
375,일시납입중지는 납입중지와 다른건가?,보험료납입,,,,
376,일시납입중지 시 자동이체 해지해야 하나요?,보험료납입,,,,
377,일시납입중지 신청하면 전월 미납분부터 적용 가능?,보험료납입,,,,
378,일시납입중지 기간 중에 보험료납입 가능한가요,보험료납입,,,,
379,일시납입중지 해두었다면 실효는 안 되는거죠?,보험료납입,,,,
381,"계약자가 미성년자인 경우, 미납안내는 누구한테 해야 완료되나요?",보험료납입,,,,
382,문자로 발송된 미납안내도 효력이 인정되는지요?,보험료납입,,,,
383,미납 안내 완료로 보는 대상자는 어떻게 되나요? 수익자에게 안내 시에도 미납 안내 완료로 보나요?,보험료납입,,,,
384,"프라임유니버셜상품인데, 해지환급금이 없어서 실효예정계약 건의 보험료 납부안내는 어떻게 하나요?",보험료납입,,,,
385,실효방지를 위한 휴대폰 결제신청 서비스가 뭔가요?,보험료납입,,,,
386,실효방지를 위한 휴대폰 결제신청 서비스는 타인 휴대폰으로도 신청가능한가요?,보험료납입,,,,
387,유니버셜 상품의 실효조건은?,보험료납입,,,,
388,관리 대출금은 무엇인가요?,보험료납입,,,,
389,PUL 모든 상품은 관리 대출금이 있나요?,보험료납입,,,,
390,관리대출금 조회는 어디서 해?,보험료납입,,,,
391,저축성보험도 실효방지 휴대폰결제서비스 신청 가능할까,보험료납입,,,,
392,계약자 법인인 경우 미납안내를 누가 받아야 하나?,보험료납입,,,,
393,보험료 입금마감일 +1일까지 연장되는 건 대상이 어떻게 되지?,보험료납입,,,,
394,"보험료납입방법을 직납으로 바꾸면, 2연체휴대폰결제 서비스는 어떻게 돼?  ",보험료납입,,,,
395,법인계약도 실손보험료 환급제도 적용이 되나요,제지급,,,,
396,실손보험료 환급 신청 조건이 뭔가요,제지급,,,,
397,실손보험료환급 신청 후 반환은 얼마만에 되나요,제지급,,,,
398,해지한 계약도 실손보험료환급 요청이 되나요,제지급,,,,
399,실손보험료 환급 시 약 1~2주 소요 되는데 소요기간에 대한 이자 지급이 있나요?,제지급,,,,
400,전화로 실손보험료 환급 신청 시 필요한 서류는?,제지급,,,,
401,실손보험료 환급 시 반환 방법은?,제지급,,,,
402,실효계약이나 만기계약도 실손보험료 환급 요청 되나요?,제지급,,,,
403,실손보험료 환급 소멸시효는?,제지급,,,,
404,실손보험료 환급에 해당되는 기간 기준은?,제지급,,,,
405,"카드로 보험료 납부한 계약인데, 해외에 장기간 나가있어서 실손보험료환급 신청하면 보험료 환급은 뭘로 해주는 건가?",제지급,,,,
406,해외 체류기간이 얼마나 돼야 실손보험료환급해 주는거야?,제지급,,,,
407,피보험자 명의로 소득공제발행 가능한가요,증명서 안내장,,,,
408,계약자와 피보험자 따로 소득공제증명서 발행이 가능한가,증명서 안내장,,,,
409,고지의무위반으로 해약환급금 또는 기납입보험료 반환된 계약도 소득공제증명서 발행이 가능한가,증명서 안내장,,,,
410,해지환급금 산출 내역서 신청이 가능한 상품은?,증명서 안내장,,,,
411,"비월납 계약의 경우, 소득공제대상액을 어떻게 계산해? ",증명서 안내장,,,,
412,부활 계약의 소득 세액공제 대상은?,증명서 안내장,,,,
413,감액완납한 계약의 소득 세액공제 대상은?,증명서 안내장,,,,
414,소득세액공제증명서 팩스로 발송하면 도착시간이 얼마나 걸려?,증명서 안내장,,,,
415,"소득공제납입증명서 및 보험료 납입증명서, 잔액증명서등 AIA+에서 법인(or) 미셩년자도 신청 가능한가요? ",증명서 안내장,,,,
416,피보험자가 배우자인 보장성보험도 소득세액공제를 받을 수 있는지요?,증명서 안내장,,,,
417,"소득공제받는 보험이 여러건인데, 한 건만 소득공제증명서 발행할 수 있나요? ",증명서 안내장,,,,
418,월별 또는 예를 들어 2월~10월까지 특정 월구간별로 소득공제증명서 발행 가능한가요?,증명서 안내장,,,,
419,"계약자를 변경한 계약건인데, 계약자를 변경하기 전 납입내역 포함해서 소득공제납입증명서 발행 가능해요?",증명서 안내장,,,,
420,카드로 납입한 보험료는 카드사용대금 소득공제 포함되나요?,증명서 안내장,,,,
421,변액 상품 계속보험료 잔액증명서 발행 기준은?,증명서 안내장,,,,
422,기준일을 과거로 해서 잔액증명서 발급 가능한가요?,증명서 안내장,,,,
423,전산의 해지(해약)환급금과 잔액증명서의 해지(해약)환급금이 왜 다르죠?,증명서 안내장,,,,
424,월별 보험료 납입증명서 영문 발행 가능한가요?,증명서 안내장,,,,
425,월별 보험료 납입증명서   납입방법 표기는 어떻게 되나요?,증명서 안내장,,,,
426,명의변경 사실 확인서 이메일로 받을 수 있나요?,증명서 안내장,,,,
427,연급 지급내역서 발행 기준은?,증명서 안내장,,,,
428,계약자가 해지환급금산출내역서를 aia+에서 신청할 수 있나?,증명서 안내장,,,,
429,연금지급내역서는 누가 신청할 수 있나요?,증명서 안내장,,,,
430,우편물 수령지를 해외주소지로 등록안해주는 이유가 뭔가요,고객정보,,,,
431,계약자가 치매상태로 가족이 전화상 주소지변경을 요청하는 경우 변경처리 가능한가,고객정보,,,,
432,"계약의 체결을 위한 개인신용정보 수집.이용, 조회, 제공 동의  항목에서 수집 이용할 개인정보의 내용이 무엇인지?",고객정보,,,,
433,분리보관은 언제되는거야?,분리보관,,,,
434,분리보관 된 이력은 있지만 분리보관조회가 안 되는 경우는 뭘까?,분리보관,,,,
435,계약자가 주소가 바뀌면 회사에 왜 알려야 하는건지?,고객정보,,,,
436,계약자가 우편물 수령지를 회사와 자택 2곳으로 등록해 달라고 하는데 가능할까? ,고객정보,,,,
437,우편물을 E-mail로 보내줄 수 있는지?,고객정보,,,,
438,우편물을 받기 싫다며 보내지 말라고 요청한 경우?,고객정보,,,,
439,계약자 주소지 정보에 업무지 주소만 등록할 수 있나요? ,고객정보,,,,
440,계약자가 의식불명 상태로 가족이 전화 상  “주소변경”을 요청할 경우,고객정보,,,,
441,"고객정보제공불가 신청 시, 제공중지되는 정보 종류는?",고객정보,,,,
442,보험금 청구권 소멸시효는?,보험금 보장,,,,
443,분리보관된 계약인데 계약사항만 조회할 때 본인인증 해야돼?,분리보관,,,,
444,분리보관 계약 정보조회하는데 얼마나 걸린다고 안내해야 해?,분리보관,,,,
445,실효된 계약도 증권재발행이 되나?,계약정보,,,,
446,해지계약 증권재발행 방법은?,계약정보,,,,
447,계약자 의식불명으로 상속인이 증권재발행 요청시 필요한 서류가 무엇인지?,계약정보,,,,
449,디지털다이렉트 가입한 경우 청약서 재발행이 가능한가,계약정보,,,,
450,계약자 치매일 경우 증권 재발행 시 신청권자 및 구비서류는?,계약정보,,,,
451,계약자 사망일 경우 증권 재발행 시 신청권자 및 구비서류는?,계약정보,,,,
452,"AIA+에서 증권재발행 신청 시, 수령 가능한 방법 과 소요 시간은?",계약정보,,,,
453,2023.02.01에 통신채널 계약했는데 상품 설명서 및 청약서 재발행 가능한가요?,계약정보,,,,
454,AIA+에서 고객이 직접 청약서 재발행 가능한가요?,계약정보,,,,
455,8채널 가입 계약건은 다이렉트사이트에서 가입확인서 같은거를 볼 수 있나?,계약정보,,,,
456,증권재발행 신청 이후에 취소가 가능한가?,계약정보,,,,
457,증권재발행하면 과거에 만기된 특약도 보여지나요?,계약정보,,,,
458,감액반제금 계약자계좌외 지급가능한가요(통신채널기준),계약정보,,,,
459,미성년자 감액시 전화접수할 때 어떻게 하나요?,계약정보,,,,
460,"비흡연 할인 중인 계약인데, 비흡연할인 적용 가능한 기준금액 밑으로 감액하면 할읹적용은 어떻게 돼?",계약정보,,,,
461,실효예정건인 변액상품을 말일자에 감액요청하는데 신청 가능할까? ,계약정보,,,,
462,"감액 접수건 승낙 완료가 되었는데, 감액취소가능한가요",계약정보,,,,
463,"변액상품 중 대출최저상환을 해야하는경우도 감액접수
가능한가요",계약정보,,,,
464,감액 이후에 증액가능한가요,계약정보,,,,
465,바이탈리티 적용 특약삭제시 멤버십도 종료되나요,계약정보,,,,
466,납입면제건도 감액가능한가요,계약정보,,,,
467, 감액시 AML(자금세탁방지법) 대상은  누구인가요,계약정보,,,,
468,철회기간에도 감액 가능한가요,계약정보,,,,
469,감액 가능한 조건 알려주세요,계약정보,,,,
470,비흡연할인특약 가입된 계약은 감액이 불가한가요?,계약정보,,,,
471,법인계약 감액신청 전화접수 방법은?,계약정보,,,,
472,변액보험 계약변경 시 반제금 종가기준을 알려주세요,계약정보,,,,
473,감액도 비교안내 대상인가요?,계약정보,,,,
474,실효건 감액가능한가요,계약정보,,,,
475,대출이있을경우 감액접수 가능한가요,계약정보,,,,
476,감액시 건강관리자금도 줄어드나요,계약정보,,,,
477,건강플러스 할인율?,계약정보,,,,
478,청약 시 당뇨 고지했으면 건강플러스 할인 신청이 안되는지? ,계약정보,,,,
479,건강플러스 할인 신청 전화접수 시 필요한 서류가 뭐야?,계약정보,,,,
480,실손의료비 상품 보험료 할인 신청대상은?,계약정보,,,,
481,의료급여수급권자는 보험료 할인이 되는 제도가 있다는데 그게 뭐야?,계약정보,,,,
482,내국인 성인 의료급여 수급권자 보험료 할인 우편 신청시 필요서류는?,계약정보,,,,
483,목표수익률 변경 대상 상품 및 변경 가능 수익률은?,변액 펀드,,,,
484,목표수익률 변경 시 바로 적용되나요?,변액 펀드,,,,
485,에버래스팅보험 약정보험료 변경할 수 있는 한도가 있어?,계약정보,,,,
486,최초 지수 연동 기간은?,계약정보,,,,
487,지수연동 기간 연장 최대 기한은?,계약정보,,,,
488,실효된 계약인데 연납을 월납으로 바꿀 수 있는지?,계약정보,,,,
489,납입주기변경은 누가 신청할 수 있나요?,계약정보,,,,
490,납입주기를 월납에서 6개월납으로 변경하려면 현재 납입횟차가 어떻게 되어 있어야 하는지? ,계약정보,,,,
491,납입주기 변경이 불가능한 조건이 있나요?,계약정보,,,,
492,자동이체 청구 중에 납입주기를 월납에서 3개월납으로 변경하면 어떻게 되나요?,계약정보,,,,
493,납입기간 단축으로 추징금이 발생하면 어떻게 납부하지?,계약정보,,,,
494,건강플러스할인 대상 상품이 뭐지? 할인율이 몇 프로야?,계약정보,,,,
495,건강플러스 할인은 언제든지 신청해도 되는지?,계약정보,,,,
496,기대출금이 있는 계약은 납입기간 변경 시 대출금 상환해야 하나?,계약정보,,,,
497,납입기간 변경 시 저축성 상품에 대해 추징금은 카드납부가 가능한가요? ,계약정보,,,,
498,의료수급권자 실손보험료 할인 신청은 계약자가 하는 거 맞죠?,계약정보,,,,
499,의료수급권자 상실하면 실손보험료 할인적용이 안되나요?,계약정보,,,,
500,의료급여 수급권 자격상실된 경우 보험회사에 신고를 해야 하나?,계약정보,,,,
501,"청약 당시 고혈압, 당뇨 고지 후 가입되었습니다. 현재는 이상이 없는데 건강할인신청 가능한가요?",계약정보,,,,
502,건강할인신청은 소급적용이 가능한가요?,계약정보,,,,
503,지급중지 설정된 계약의 납입주기를 전화상으로 변경 가능한가요?,계약정보,,,,
504,계약자 요청에 의한 지급중지 설정 및 해제 방법을 알려주세요,계약정보,,,,
505,비흡연할인 신청조건을 알려주세요 ,계약정보,,,,
506,비흡연할인은 계약자가 신청하는건가요?,계약정보,,,,
507,비흡연할인 가능상품을 알려주세요,계약정보,,,,
508,"보험 대상자의 직업, 운전차종 변경통지 
구비서류를 알려주세요",계약정보,,,,
509,두가지 이상의 직업이 있는 경우 어떤 직업이 위험등급에 적용되나? ,계약정보,,,,
511,갱신불원 접수 가능기간을 알려주세요,계약정보,,,,
512,미성년자계약 갱신불원 전화접수 방법은 어떻게 되나요?,계약정보,,,,
513,직무직종 통지 의무 대상 상품은 무엇인가요?,계약정보,,,,
514,직무직종변경 신고를 할때 어떤 내용을 알려야 해? ,계약정보,,,,
515,직무직종 변경 통지를 해야하는 사람은 누구인가? 피보험자인가? ,계약정보,,,,
516,비 흡연 특약에 가입되어 있는데 흡연을 하게 되면 어떻게 되나요?,계약정보,,,,
517,비흡연 할인을 신청하려는데 전화로 접수하는 방법 알려줘,계약정보,,,,
518,"비흡연 받던 고객인데 흡연으로 변경한다고 하네요, 전화로 접수할때 어떤 것이 필요해?",계약정보,,,,
519,펀드변경은 몇 번까지 신청할 수 있어?,변액 펀드,,,,
520,펀드변경은 계약하고 언제부터 가능해?,변액 펀드,,,,
521,펀드변경하면 적립금이전은 언제되는거야,변액 펀드,,,,
522,부활 시 다시 펀드투입비율을 변경할 수 있나?,변액 펀드,,,,
523,적립금이전 신청했는데 투입되기 전에 취소 가능할까? ,변액 펀드,,,,
524,펀드 자동재분배은 신청 후에 취소 할 수도 있고 다시 신청할 수도 있는 거죠?,변액 펀드,,,,
525,펀드수익율 알림서비스 신청은 아무 계약이나 할 수있나,변액 펀드,,,,
526,펀드변경과 펀드투입비율변경의 차이는?,변액 펀드,,,,
527,펀드 운영갯수는 몇개까지 가능한가요,변액 펀드,,,,
528,펀드변경 접수마감은 몇시까지야,변액 펀드,,,,
529,"성인 계약자 전화로 펀드변경 신청 시, 필요 서류는?",변액 펀드,,,,
530,"미성년자 계약자 우편으로 펀드변경 신청 시, 필요 서류는? ",변액 펀드,,,,
531,편드변경 비율 단위는? ,변액 펀드,,,,
532,자동재분배 신청 기준은?,변액 펀드,,,,
533,자동재분배 신청 가능 횟수는?,변액 펀드,,,,
534,펀드변경과 펀드투입비율변경 동시에 가능한지?,변액 펀드,,,,
535,"보험료 자동이체일이 25일인데 주식형 100%에서 채권형 100%로 5/15일에 펀드 투입비율변경할 경우, 어떻게 적용되는지?",변액 펀드,,,,
536,감액완납이 무엇인가요?,계약정보,,,,
537,납입면제 중인 계약도 감액완납이 가능한가요?,계약정보,,,,
538,감액완납이 불가능한 경우가 또 어떤 것들이 있어?,계약정보,,,,
539,감액완납 전화접수 시 필요한 서류는?,계약정보,,,,
540,감액완납 후 취소되나요?,계약정보,,,,
541,감액완납 시 특약은 보장 받을 수 없나요?,계약정보,,,,
542,감액완납 가능 조건은?,계약정보,,,,
543,법인 계약 감액완납 직원도 신청 가능한가요?,계약정보,,,,
544,법인 계약 감액완납 신청방법은?,계약정보,,,,
545,연장정기가 무엇인가요?,계약정보,,,,
546,연장정기 가능한 조건은?,계약정보,,,,
547,연장정기 전화접수 시 필요한 서류는?,계약정보,,,,
548,법인계약 연장정기 직원 대리 신청 가능한가요?,계약정보,,,,
549,연장정기 후 취소되는지?,계약정보,,,,
550,연장정기 후 해지 되는지?,계약정보,,,,
551,연장정기 시 보험기간 계산 될 때 연령의 기준 문의 시?,계약정보,,,,
552,연장정기 후에도 보험계약대출 가능한지 문의 시 ,계약정보,,,,
553,연장정기 후에 연금전환 가능 문의 시?,계약정보,,,,
554,계약자 아닌 제3자가 민원접수 요청하면 어떻게 해? ,민원,,,,
555,계약자가 당사 활동 모집인인 경우에 민원접수 가능한지?,민원,,,,
556,"자동부활 가능 기한 경과 건 일반부활 안내 하였으나, 거부하고 자동부활 요구하는 경우에는?",민원,,,,
557,고객의 개인정보 유출과 관련 확인 요청 및 사고 대응 등을 위해 문의 시에는?,민원,,,,
558,소멸계약 증권 재발행 요청 시 대응법은?,민원,,,,
559,위법계약 해지가 뭐지?,민원,,,,
560,위법계약해지 요구는 언제까지 가능한가요?,민원,,,,
561,위법계약해지신청방법은? 전화로 가능한가?,민원,,,,
562,위법계약해지 신청할때 필요한 서류가 뭐야?,민원,,,,
563,품질가능해지 가능 기간은?,민원,,,,
564,품질가능해지 가능 조건은?,민원,,,,
565,품질 보증해지 접수 시 결과 및 소요 시간은?,민원,,,,
566,품질 보증해지 접수 제한 사항은?,민원,,,,
567,보험금 지급 된 계약도 품질보증해지 가능한가요?,민원,,,,
568,담당 MP가 없는데 반드시 지정하지않아도 되는 것인지?,설계사,,,,
569,실효상태에서 MP지정 문의 시?,설계사,,,,
570,MP가 본인 계약 건 본인으로 이관 요청시?,설계사,,,,
571,미성년자계약 이관동의서 외에 추가 제출 서류 및 작성방법은?,설계사,,,,
572,타 채널의 계약 건을 단체영업 소속의 MP로 이관 가능 한지?,설계사,,,,
573,활동MP 건을 다른 MP로 변경할 수 있는 조건은?,설계사,,,,
574,계약상태 10이 어떤 상태?,신계약 미결,,,,
575,보험 계약 반송 안내문을 받았는데 무엇인지 문의한 경우?,신계약 미결,,,,
576,부담보가 무엇인가요?,보험금 보장,,,,
577,"통신채널 청약 당시 부담보 설정 된 부위 완치 후 부담보 해제 가능하다고 안내 받았다고 하는 경우, 접수 및 검토 가능 조건은?",신계약 미결,,,,
578,건강 재고지 접수 가능기간은? 통신채널 건이야,신계약 미결,,,,
579,대면채널 계약 우편으로 자필서명재고지 하는 방법은?,신계약 미결,,,,
580,실효상태에서 재고지 가능한가요?,신계약 미결,,,,
581,재고지 결과 M2 보완 나온 경우 어떻게되는건지요?,신계약 미결,,,,
582,동일한 증권번호에 대해 재고지 여러 번 가능한가요?,신계약 미결,,,,
583,8채널 계약도 재고지 가능한가?,신계약 미결,,,,
584,재고지했는데 미결로 부담보 설정이 되었을 경우 어떻게 해야 돼?,신계약 미결,,,,
585,AIA+에서 보험금청구 가능한 시간대는?,채널 표기 코드,,,,
586,AIA+에서 보험계약대출 후 당일 바로 상환가능한가요?,채널 표기 코드,,,,
587,아이폰에서 보이는ARS 자동 팝업이 되었으면 좋겠어요~ SMS의 URL 클릭이 불편해요.,채널 표기 코드,,,,
588,"모든 조건(OS, 단말기)이 충족 되었고 앱을 설치했는데 왜 보이는 ARS 안되나요?",채널 표기 코드,,,,
589,통화 중에 보이는 ARS 서비스가 갑자기 너무 느려요.,채널 표기 코드,,,,
590,"전에는 보이는 ARS가 자동으로 팝업 되었는데, 어느 날부터 팝업이 되지 않아요. ",채널 표기 코드,,,,
591,"보이는ARS 이용 중이었는데, 화면이 보이지 않아요. ",채널 표기 코드,,,,
592,계약자가 법인인 건은 AIA+에서 이용가능한 서비스 종류가뭐야?,채널 표기 코드,,,,
593,해약환급금 조회가 aia+에서 안 되나요?,채널 표기 코드,,,,
594,aia+에서 해약접수도 되나요?,채널 표기 코드,,,,
595,aia+에서 감액접수 되지요?,채널 표기 코드,,,,
596,aia+ 로그인 방법에 어떤 것들이 있지?,채널 표기 코드,,,,
597,18996700번이 무슨 번호야?,채널 표기 코드,,,,
598,ARS에서 제지급 신청 얼마까지 가능하나요?,채널 표기 코드,,,,
599,"종피보험자 주민번호 정정할때도, 보험료 변동이 발생하나요?",명의변경,,,,
600,주민번호정정 전화접수 할때 필요한 서류가 있나요?,명의변경,,,,
601,"이름 단순정정을 우편으로 신청 시, 필요 서류는?",명의변경,,,,
602,"명의정정 시, AML 대상은?",명의변경,,,,
603,"이름 단순정정 전화 접수 시, 필요한 서류는? ",명의변경,,,,
604,등본과 신분증상 성명이 두음법칙으로 인해 상이한 경우 정정되어야 하는기준은?,명의변경,,,,
605,추징금이 무엇인가요?,명의변경,,,,
606,명의정정 증비서류 사본 가능한가요?,명의변경,,,,
607,내국인 호적정정으로 명의정정 시 필요한 서류는?,명의변경,,,,
608,법인 계약 사업자등록번호 변경 시 구비서류는? 대표자가 신청할 때로 알려줘,명의변경,,,,
609,고객의 계약에 대해 법원에서 압류를 했다는 것이 무슨 의미인가요?,채권압류 질권설정,,,,
610,피보험자에게 압류가 설정될 예정입니다. 압류가 가능한가요?,채권압류 질권설정,,,,
611,"현재 계약자와 수익자가 동일인 입니다. 앞으로 압류가 설정될 것으로 예상되는데, 수익자를 변경할 수 있나요?",채권압류 질권설정,,,,
612,"계약자와 수익자가 다른 사람이고, 수익자만 압류 대상일 경우 계약을 해지하거나 명의변경이 가능한가요?",채권압류 질권설정,,,,
613,수익자에게 압류가 설정되어 있고. 보험금 지급사유가 발생하였을 때 압류가 설정되어 있는 경우 보험금을 지급 받을 수 있을지요?,채권압류 질권설정,,,,
614,채무 관계를 모두 정산했는데 보험에 압류가 풀리지 않은 상태로 계약해약을 위해 압류 해제가 가능할까?,채권압류 질권설정,,,,
615,채권기관에서 압류 해제 서류를 보냈다고 했는데 아직 압류가 설정되어 있습니다. 언제 해제 가능한가요?,채권압류 질권설정,,,,
616,채권자 전화번호를 알 수 있는 방법이 있나?,채권압류 질권설정,,,,
617,하나의 계약에 서로 다른 압류가 2건 이상 있을 경우 우선순위가 어떻게 되나요?,채권압류 질권설정,,,,
618,"가압류설정 통보 문자를 받았는데, 가압류 상태에서 채권자가 추심이 가능한가요?",채권압류 질권설정,,,,
619,"압류 된 계약자가 개인회생 신청을 한 경우, 압류건은 해제 되는 건가요?",채권압류 질권설정,,,,
620,압류금액보다 해지환급금이 더 많을 경우 어떻게 처리 되나요?,채권압류 질권설정,,,,
621,추심계약 해지요청 시 필요한 서류는?,채권압류 질권설정,,,,
622,압류가 해제될 경우 계약자에게 안내 통보가 되나요?,채권압류 질권설정,,,,
623,"가압류란 무엇이며, 이 경우에도 추심이 가능한가요?",채권압류 질권설정,,,,
624,무료보험 영문 가입증서 발행 가능한가요?,상품,,,,
625,무료보험 수익자 정정 가능한가요?,상품,,,,
626,무료보험은 보험금 청구 방법이 다른가요?,상품,,,,
627,무배당 대중교통 상해보험(2구좌)의 지급 조건과 금액을 알려줘,상품,,,,
628,무배당 대중교통 상해보험에 해당되는 대중교통 수단은?,상품,,,,
629,아직 상환이 덜 된 계약대출금이 있어도 연금전환이 가능한가?,연금,,,,
630,연금전환 가능한 조건 알려줘,연금,,,,
631,연금전환 신청을 전화접수 할 수 있나?,연금,,,,
632,연금전환 시 특약보장은 어떻게 되나?,연금,,,,
633,연금전환 후 취소도 가능한가?,연금,,,,
634,연금신청권자는 누구인가,연금,,,,
635,연금으로 전환 후 연금의 일시금 수령은 가능한가요?,연금,,,,
636,지급중지(채권압류) 계약은 연금전환이 가능한가요?,연금,,,,
637,사망수익자가 은행으로 지정된 계약은 연금전환이 가능한가요?,연금,,,,
638,"보장유지특약 중 갱신특약이 존재하는 경우, 갱신 가능한가요?",연금,,,,
639,연금전환 접수 중 [재해입원특약은 의료비특약과 전환여부가 동일해야 한다]는 안내문구가 뜹니다. 어떤 의미인가요?,연금,,,,
640,연금전환 신청 후 언제부터 연금수령이 가능하나요?,연금,,,,
641,연금전환 시점이 비과세 기간을 경과 하지 않았을 경우에는 과세 되나요?,연금,,,,
642,연금전환 시에는 가입 당시의 경험생명표를 적용하나요? ,연금,,,,
643,연금개시 안내문은 언제 발송 되나요?,연금,,,,
644,연금개시시점에 약관대출금 존재 시에는 연금개시금액은 어떻게 되나요?,연금,,,,
645,연금 개시 후 피보험자 사망 시 수익자는 누구인가요?,연금,,,,
646,연금 개시 후 피보험자 사망 청구 건의 일시금 요청 시 구비 서류는 어떻게 되나요?,연금,,,,
647,연금 지급 일자에 미 지급 되었을 경우 공시이율로 적용 되나요?,연금,,,,
648,"비과세 기간을 채우지 못하고, 연금 개시 될 경우 과세는 언제 하나요?",연금,,,,
649,"당사의 연금보험은 비과세연금보험(비적격), 소득공제 연금보험(적격) 중 어디에 해당 되나요?",연금,,,,
650,세계비적격/적격 차이는?,연금,,,,
651,연금 계약변경 가능 조건은?,연금,,,,
652,연금개시연령을 바꾸고 싶은데 가능 조건이 있어?,연금,,,,
653,연금개시가 되었는데 연금을 실제 받기 전에 연금지급받은 주리를 변경하고 싶다면 가능할까? ,연금,,,,
654,대출이자 rtb 출금시 통장에 뭐라고 표시돼?,채널 표기 코드,,,,
655,계속분보험료는 rtb하면 통장에 뭐라고 찍혀?,채널 표기 코드,,,,
656,초회보험료는 통장에 뭐라고 표시돼?,채널 표기 코드,,,,
657,약관대출이자 자동이체 통장에 표시가 어떻게 되니?,채널 표기 코드,,,,
658,통장에 AIA05 020 표시된 거는 어떤 출금이야?,채널 표기 코드,,,,
659,통신채널 2025년 3월에 가입한 백세시대꼭하나건강보험갱신형의 AIA 헬스케어 서비스 가입 조건은?,헬스케어서비스,,,,
660,전문의료진 실시간 건강상담 내용이 뭐더라?,헬스케어서비스,,,,
661,차량에스코트 서비스 내용 좀 알려줘,헬스케어서비스,,,,
662,시니어일반헬스케어에서 차량에스코트서비스는 년간 몇 회 지원돼?,헬스케어서비스,,,,
663,간호사 병원 방문동행 내용과 연간 지원횟수 알려줘,헬스케어서비스,,,,
664,암특화헬스케어서비스 중에 암건강정보안내는 어떻게 받아보는 거야?,헬스케어서비스,,,,
665,전화심리상담은 가족도 받을수 있나요?,헬스케어서비스,,,,
666,헬스케어 기본서비스에서 케어스테이 서비스 가능해?,헬스케어서비스,,,,
667,2025년 1월에 가입한 AIA Vitality 평생안심+유니버셜종신보험 헬스케어 서비스 가입 조건은?,헬스케어서비스,,,,
668,해외 의료지원서비스는 헤택내용이 뭐가 있어?,헬스케어서비스,,,,
669,헬스케어로 상조서비스는 다른 상조회사와 연계되어서 제공하는 건가요?,헬스케어서비스,,,,
670,헬스케어 서비스에서 말하는 '큰병'의 정의는?,헬스케어서비스,,,,
