[ QA Check & Talk Point ],,,,,,
No.,목차,Check Point,,Talk (example),,,고객예상질문1,고객예상질문2,고객예상질문3
,,7. (VUL의 경우) 적용 종가 일자 안내,,미리 납부하는 보험료는 00일 종가(or기준가)가 적용 되겠습니다. ,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
17,"송금계좌등록
","1. 등록할 계좌 ""본인 명의"" 여부 확인",,송금계좌로 등록할 계좌는 고객님(계약자) 본인명의 맞으십니까?,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,"2. 휴대폰 본인인증 안내
※신분증 인증만 가능한 경우 IVOC 접수 후 가능
※ 3회 이상 인증 실패 시, 본인인증 5회 오류 시 당일 전화신청 불가 안내 ",,"혹시 고객님 사용하시는 휴대폰이 본인 명의이세요? (yes)
금융사고 예방을 위해 고객님 명의의 휴대폰을 통한 본인 인증 후 업무처리 진행을 해드릴텐데요~
먼저, 휴대폰본인확인 서비스 이용과 관련하여 고객님의 정보를 수집.이용.취급위탁하고, 고유식별정보를 처리 하는 것에 동의 하십니까? (동의 필수)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경 반영은 언제부터 확인할 수 있나요?
,,"3. Black list 검증 대상자의 국적 및 영문명
3-1. CDD & 실제 소유자 확인
",,"3. (내국인의 경우) 당연하시겠지만 고객님의 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 고객님 국적이 어떻게 되십니까? 실제 거주하시는 곳은 어떻게 되십니까? 영문이름 말씀 부탁 드립니다. 
3-1. 고객님 신분증의 발급일자를 말씀 해주시겠습니까?
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
* 운전면허증의 경우 : 면허번호, 만료일자 확인
 이 계약의 실제 소유자가 [계약자명]님 맞으시죠? 
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인
 실례지만, 하시는 일이 어떻게 되시는지요?(+직장명이 어떻게 되십니까?)",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,4. 송금계좌번호 확인,,"등록할 은행명과 계좌번호 말씀 해주시겠습니까? 
('예금주 주민번호=계약자 주민번호'인 경우 예금주 성명이 달라도 등록가능/ Ex-사업자명, 두음법칙)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"5. 오늘 등록한 송금계좌는 ""당일 제지급 접수 불가” 함을 필수 안내",,"송금계좌 등록 되었습니다. (당일 등록 계좌 사용가능 업무: 중도, 만기, 연금, 배당)
(대출, 인출, 해약, 계약변경: 오늘 등록한 송금계좌는 당일 제지급 신청 시 사용할 수 없으므로 이 점 유의해 주시기 바랍니다.)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
18,"자동송금신청
",1. 총 계약 건 수 안내 및 요청 계약 건 확인,,"말씀하신 OO계약에서 ___(배당금, 중도보험금, 연금, 자동중도인출)이 발생 되는데요, 
___의 자동송금 신청이 맞으십니까?(yes)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"2. FATCA/CRS 확인
※ 미국인인 경우 W-9 form 원본접수로 인해 전화접수 불가
※ 미국 외 타국납세의무자인 경우 본인확인서 원본 팩스 징구",,"실례지만, 고객님 국적이 어떻게 되십니까? 
(내국인인 경우) 혹시, 다른 나라에 세금을 납부하는 것이 있으십니까?",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"3. 본인인증 (휴대폰 or 신분증) 안내 
※ 휴대폰 SMS 인증 시 본인인증 동의 필수
※ 3회이상 인증 실패 시, 본인인증 5회 오류 시 당일 전화신청 불가 안내",,"혹시 고객님 사용하시는 휴대폰이 본인 명의이세요? (yes)
금융사고 예방을 위해 고객님 명의의 휴대폰을 통한 본인 인증 후 업무처리 진행을 해드릴텐데요~
먼저, 휴대폰본인확인 서비스 이용과 관련하여 고객님의 정보를 수집.이용.취급위탁하고, 고유식별정보를 처리 하는 것에 동의 하십니까? (동의 필수)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경 반영은 언제부터 확인할 수 있나요?
,,"4 . Black list 검증 대상자의 국적 및 영문명
4-1. CDD & 실제 소유자 확인
",,"4. (내국인의 경우) 당연하시겠지만 고객님의 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 고객님 국적이 어떻게 되십니까? 실제 거주하시는 곳은 어떻게 되십니까? 영문이름 말씀 부탁 드립니다. 
4-1. 고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호, 만료일자 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
 이 계약의 실제 소유자가 [계약자명]님 맞으시죠? 
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인
 실례지만, 하시는 일이 어떻게 되시는지요?(+직장명이 어떻게 되십니까?)",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,5. 자동송금계좌 확인,,"자동송금 시 지급 받으실 계좌는 등록 된 송금계좌로만 선택 가능한데요, 어떤 계좌로 설정 하시겠습니까? 
은행명과 계좌번호 확인 부탁 드립니다. (송금계좌확인)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,6. 요청 건은 다음 발생 분부터 자동송금 됨 안내,,"말씀하신 OO계좌로 신청 완료 되었고요, ____금에 대해서는 다음 발생 분부터 자동송금 처리 되겠습니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
19,"보험계약대출 
신청","1. 대출 가능 계약 안내 및  대출 신청 계약 건 확인   
※ 만 65세 이상 고객의 경우 주소정보 추가확인",,,,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,2. 대출 가능 금액 안내 및 신청 금액 확인 (당일 기준 or 이후 변동 가능 안내/VUL 상품 : 대출 가능 금액 매일 변동 안내),,"OO계약에서 당일 기준으로 OOO원 대출 가능한데요, 신청하실 금액은 어떻게 되십니까?",,,보험계약대출 신청은 어떻게 진행하면 되나요?,이자 계산 기준과 상환 조건을 알려주세요.,대출금 지급까지 소요되는 시간은 얼마인가요?
,,3. 기 대출금 있을 경우 기대출금에 대한 지급일 전일까지의 이자 공제 안내,,기 대출 받으신 금액에 대한 지급일 전일까지의 이자 공제 후 지급됩니다.,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,4. 변액 및 저축성 상품 대출 접수시 중도인출과 비교 안내,,"이 계약은 대출 또는 중도인출이 가능합니다. 계약대출은 원금과 이자를 상환해야 하지만 원금 상환 시 비용이 없고, 중도인출은 상환 의무가 없지만 차후 가능한 조건일 때 추가납입이 가능하지만 수금비 차감이 있으니 참고하여 이용하시기 바랍니다. 
★ 계약상태 ""완납""상태에서는 추가납입이 불가할 수 있으므로 상담 시 유의 
[변액 상품]
보험계약대출은 대출일을 기준으로 펀드 별 계약자적립금 비율에 따라 특별계정에서 일반계정으로 이체한 후 [보험계약대출이율-1.5%]로 부리 적립하게 됩니다. 즉, 대출금액은 특별계정 운영에서 제외되며 대출금 상환 시 수금비 공제 없이 다시 투입됩니다.
",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"5. 미지급된 배당금, 중도분할금, 연금 존재할 경우 해당 계약건과 금액 안내 후 신청 가능함 필수 안내",,,,,보험계약대출 신청은 어떻게 진행하면 되나요?,이자 계산 기준과 상환 조건을 알려주세요.,대출금 지급까지 소요되는 시간은 얼마인가요?
,,"6. 외화보험(USD,AUD) 대출의 경우 필수 안내
  * 해외사용 증빙서류: 송금증빙, 수입대금결재증빙, 해외투자증빙 등의 서류 
 ",,"외환상품의 계약대출의 경우, 외환관리법('한국은행의 외국환거래업무 취급세칙' 제2-9조)에 의거하여 해외송금 용도 외에는 외화대출이 가능하지 않습니다. 따라서, 당일(익일 지급 시, 익일)까지 사용에 대한 증빙서류를 제출 해주셔야 하는데, 괜찮으실까요? (yes)
",,,보험계약대출 신청은 어떻게 진행하면 되나요?,필요 서류 종류와 발급 기준을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,7. 접수 전 확인 ( 신청 금액 및 접수 후 취소 불가 안내),,OO보험 계약 건에서 OO원 대출 신청 해드리겠습니다. 접수 후 취소는 가능하지 않습니다.,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,8. FATCA/CRS 확인,,"실례지만, 고객님 국적이 어떻게 되십니까? 
(내국인인 경우) 혹시, 다른 나라에 세금을 납부하는 것이 있으십니까?",,,보험계약대출 신청은 어떻게 진행하면 되나요?,이자 계산 기준과 상환 조건을 알려주세요.,대출금 지급까지 소요되는 시간은 얼마인가요?
,,"9. 본인 인증 방법 안내 
※ 휴대폰 SMS 인증 시 본인인증 동의 필수
※ 2,000만원 초과 건은 휴대폰 SMS인증만 가능
※ 3,000만원 초과 건은 휴대폰 SMS인증+신분증인증 모두 진행",,"혹시 고객님 사용하시는 휴대폰이 본인 명의이세요? (yes)
금융사고 예방을 위해 고객님 명의의 휴대폰을 통한 본인 인증 후 업무처리 진행을 해드릴텐데요~
먼저, 휴대폰본인확인 서비스 이용과 관련하여 고객님의 정보를 수집.이용.취급위탁하고, 고유식별정보를 처리 하는 것에 동의 하십니까? (동의 필수)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경 반영은 언제부터 확인할 수 있나요?
,,10. Black list 검증 대상자의 국적 및 영문명 확인 ,,"(내국인의 경우) 당연하시겠지만 고객님의 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 고객님 국적이 어떻게 되십니까? 실제 거주하시는 곳은 어떻게 되십니까? 영문이름 말씀 부탁 드립니다. ",,,보험계약대출 신청은 어떻게 진행하면 되나요?,이자 계산 기준과 상환 조건을 알려주세요.,대출금 지급까지 소요되는 시간은 얼마인가요?
,,11. CDD & 실제 소유자 확인,,"고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호, 만료일자 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 고객님 맞으시죠? (재질의 시 ""고객님 본인 의지로 계약을 하신게 맞으시죠 타인을 대리하시는게 아니시죠?)
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"12. 약정서 안내 (약정서 내용 동의 필수)
※ 만 65세 이상 고객 대출청약철회권 안내 ",,"약정서 내용 참조
(만 65세 이상) 고객님 휴대폰으로 대출청약철회관련 안내 문자를 보내드리니, 확인하시고 궁금하신점이 있으면 문의 주시기 바랍니다~ ",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,변경 반영은 언제부터 확인할 수 있나요?
,,※ 2024.90.30 이후 대출(신규/추가/재대출 모두 해당)의 경우 ,,"보험계약대출의 체결, 이행을 위해 고객님의 고유식별정보, 보험계약대출 정보 등을 수집/이용하며, 제3자인 신용정보집중기관(한국신용정보원) 등에 제공하며, 금융거래 안심차단 신청정보 등을 조회하여 거래 종료 후 최대 5년까지 보유/이용하는 것에  동의하십니까?(yes) ",,,보험계약대출 신청은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",대출금 지급까지 소요되는 시간은 얼마인가요?
,,통신채널,면대면채널,통신채널,면대면채널,,보험계약대출 신청은 어떻게 진행하면 되나요?,이자 계산 기준과 상환 조건을 알려주세요.,대출금 지급까지 소요되는 시간은 얼마인가요?
,,"13. 지급계좌 예금주,은행명,계좌번호 확인",14-1. 송금계좌 확인 ,"지급 받으실 계좌와 은행명, 예금주 확인 부탁 드립니다.","지급 받으실 계좌와 은행을 말씀 부탁 드립니다
(송금정보로 확인할 것)",,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,,14-2. 변액계약의 경우 종가에 따라 지급금액 변동 가능 안내  ,,"변액 상품은 펀드 또는 채권 등에 투자가 되기 때문에 대출을 신청하시면 해당 시점에서 펀드나 채권의 환매가 이루어지고, 기준가에 따라 금액이 확정되기 때문에 신청한 금액이 실제지급 확정 금액과 차이가 있을 수 있습니다.",,,,
,,"14. 대출 이자 이체계좌 예금주, 은행명, 계좌번호, 이체일 확인 및 적용월·일 안내
     ※ ‘미수이자 발생 가능' 시 안내 및 이체일 변경 권유
14-1. 금결원 녹취 전송멘트",,"15. 이자 납입은 자동이체로 등록 해주셔야 하는데요, 이체 계좌와 은행명을 말씀해 주시겠어요?
이체일자는 5, 10, 15, 20, 25, 말일 자 중에 선택하실 수 있는데, 며칠이 편하세요?
이자는 매월 OO일에 OO은행 계좌에서 자동이체 됩니다.
15-1.[금융결재원 녹취 전송]
자동이체 등록 확인을 위한 ARS를 연결 해드리겠습니다. 요청하신 정보가 맞으면 1번 동의를 누르신 후 잠시 기다려 주시기 바랍니다. -> ARS연결
※ ARS사용 불가 시 녹취로 대체
   AIA생명에서 출금하는 계좌를 예금주 000님의 00은행, --------번 계좌로 요청하셨습니다. 맞으십니까? (YES 답변 필수)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,15. 지급시간 안내,,"접수가 완료되어 2시간 이내에(17:00:01이후 접수 : 익영업일 10시까지) 지급 될 예정이고, 대출이자는 매월 DD일에 자동이체 되겠습니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"(정액 상환 신청 시) 
16-1. 기 정액 상환 금액 있을 경우 상환 유지 여부 확인
16-2. 정액 상환 신규 신청 시 지정 이체일에 이자와 정액상환 합산 금액 출금에 대한 안내 ",,"17-1. 기존에 매월 O원씩 정액 상환 중이었는데요, 그대로 유지하시겠습니까?
17-2. 지정된 00일에 매월 이자와 원금 상환금액이 합산 출금됩니다. 혹시, 계좌에 잔액이 부족한 경우에는 출금이 가능한 금액까지만 부분출금이 되어 이자 -> 원금 순으로 처리 되는 점 참고 부탁 드립니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
20,APL(자동대출납입) 신청,1. 해당 계약 건 확인 (이용 가능 건 확인),,,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,2. 대출 가능 금액 및 이율 안내,,"OOO보험의 대출 가능 범위 내에서 사용이 가능하시고요~, 오늘 기준으로 가능금액은 000원이고, 대출이율은 연 oo%입니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,3. APL유지 기간 안내,,"자동대출납입제도는 최초 자동 대출 발생 월로부터 1년간 유효하고요, 1년 이후에는 재 신청을 하셔야 계속 사용하실 수 있습니다. ",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,4. 약정서 안내,,약정서 내용 참조,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,"5. 대출 이자 이체계좌 예금주,은행명,계좌번호,이체일 확인 및 적용월·일 안내
   ※ 대출 이자 ‘미수이자 발생 가능' 시 안내 및 이체일 변경 권유
5-1. 금결원 녹취 전송멘트",,"5. 이자 납입은 자동이체로 등록 해주셔야 하는데요, 이체 계좌와 은행명을 말씀해 주시겠어요?
이체일자는 10, 15, 20, 25, 말일 자 중에 선택하실 수 있는데, 며칠이 편하세요?
이자는 대출 발생 시 OO은행 계좌에서 OO일에 자동이체 됩니다.
5-1.[금융결재원 녹취 전송]
자동이체 등록 확인을 위한 ARS를 연결 해드리겠습니다. 요청하신 정보가 맞으면 1번 동의를 누르신 후 잠시 기다려 주시기 바랍니다. -> ARS연결
※ ARS사용 불가 시 녹취로 대체
   AIA생명에서 출금하는 계좌를 예금주 000님의 00은행, --------번 계좌로 요청하셨습니다. 맞으십니까? (YES 답변 필수)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",적용 시점과 청구 일정은 어떻게 되나요?
,,6. 안내장 발송 안내,,첫 대출 발생 시 우편물 수령지(or 이메일 or 문자 안내장(LMS))로 보험계약대출안내장이 자동 발송 되겠습니다.,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,접수 후 수령 방식은 어떻게 선택할 수 있나요?,적용 시점과 청구 일정은 어떻게 되나요?
,,[자동이체 등록 건] 정상유지 여부 안내,,"현재 등록 된 보험료 자동이체 00은 그대로 유지되어, 매월 OO일에 청구 되오니 참고 부탁 드립니다.",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,적용 시점과 청구 일정은 어떻게 되나요?
21,중도인출,"1. 중도인출 가능 계약 및 요청 계약 건 확인
※ 만 65세 이상 고객의 경우 주소정보 추가확인",,,,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,"2. 가능 금액 안내 후 신청 금액 확인 
   (당일 기준금액 or 이후 변동가능 안내 / VUL 상품 : 인출 금액 매일 변동)",,"OO계약에서 당일 기준으로 OOO원 인출 가능한데요, 신청하실 금액은 어떻게 되십니까?",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,3. 변액 및 저축성 상품 중도인출 접수시 보험계약대출과 비교 안내,,"이 계약은 대출과 중도인출이 모두 가능한데요~ 계약대출은 원금과 이자를 상환하는 부분이 있지만 나중에 원금을 상환 하실 때 수금비라는 비용이 없고, 중도인출은 상환의 의무가 없습니다. 다만 차후 가능한 조건일 때 추가납입이 가능하지만 수금비 차감이 있을 수 있으니 참고 하셔서 이용하시기 바랍니다. 
★ 계약상태 ""완납"" 상태에서는 추가납입이 불가할 수 있으므로 상담 시 유의
",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,"4. 미지급된 배당금, 중도분할금, 연금 존재할 경우 해당 계약건과 금액 안내 후 신청 가능함 필수 안내",,,,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,변경 또는 신청 후 적용 시점은 언제인가요?
,,5. 계약건 별 신청 가능 횟수 및 가능 기간 안내 ,,계약일을 기준으로 연 00회 신청 가능 합니다. ,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,6. 중도인출 후 적립금 감소 & 추가납부 시 수금비(사업비) 공제 후 적립됨 & 만기 시 지급액이 이미 납입한 보험료 보다 적을 수(원금손실) 있음 안내 ,,"중도인출을 할 경우 적립금의 일부를 출금 하는 것이기 때문에 그 만큼 적립금이 감소되어, 이 계약의 만기 시 지급받는 금액이 납입한 보험료 보다 적을 수 있는 점 참고 해주시기 바랍니다. (yes)",,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,7. 접수 전 확인 ( 신청 금액 및 접수 후 취소 불가 안내),,OO보험 계약 건에서 OO원 중도인출 신청 해드리겠습니다. 접수 후 취소는 가능하지 않습니다.,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,8. FATCA/CRS 확인,,"실례지만, 고객님 국적이 어떻게 되십니까? 
(내국인인 경우) 혹시, 다른 나라에 세금을 납부하는 것이 있으십니까?",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,"9. 본인 인증 방법 안내 
※ 휴대폰 SMS 인증 시 본인인증 동의 필수
※ 2,000만원 초과 건은 휴대폰 SMS인증만 가능
※ 3,000만원 초과 건은 휴대폰 SMS인증+신분증인증 모두 진행",,"혹시 고객님 사용하시는 휴대폰이 본인 명의이세요? (yes)
금융사고 예방을 위해 고객님 명의의 휴대폰을 통한 본인 인증 후 업무처리 진행을 해드릴텐데요~
먼저, 휴대폰본인확인 서비스 이용과 관련하여 고객님의 정보를 수집.이용.취급위탁하고, 고유식별정보를 처리 하는 것에 동의 하십니까? (동의 필수)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",변경 반영은 언제부터 확인할 수 있나요?
,,10. Black list 검증 대상자의 국적 및 영문명 확인 ,,"(내국인의 경우) 실례지만 고객님 국적과 실제 거주하시는 곳은 동일하게 한국이시지요?
(외국인의 경우) 실례지만 고객님의 국적이 어떻게 되십니까? / 실제 거주하는곳도 동일하십니까?",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,11. CDD & 실제 소유자 확인,,"고객님 신분증의 발급일자를 말씀 해주시겠습니까?
* 운전면허증의 경우 : 면허번호,만료일자 확인
실례지만 하시는 일이 어떻게 되십니까?(+직장명이 어떻게 되십니까?)
이 계약의 실제 소유자가 고객님 맞으시죠? (재질의 시 ""고객님 본인 의지로 계약을 하신게 맞으시죠 타인을 대리하시는게 아니시죠?)
  → 아니오 인 경우: 실제 소유자 성명, 주민번호, 국적 확인",,,증권/약관/증명서 발급은 어떻게 신청하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,통신채널,면대면채널,통신채널,면대면채널,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,"12. 지급계좌 예금주,은행명,계좌번호 확인",13-1. 송금계좌 확인 ,"지급 받으실 계약자 분의 은행명과 계좌번호 
말씀 부탁 드리겠습니다",지급 받으실 계좌와 은행을 말씀 부탁 드립니다 (송금정보로 확인할 것),,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,,13-2. 변액계약의 경우 종가에 따라 지급금액 변동 가능 안내  ,,변액 상품은 종가에 따라 실제 지급되는 금액은 차이가 있을 수 있습니다.,,,,
,,13. 중도인출 수수료 안내 (계약일 기준 연 4회 면제),,,,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
,,14. 지급시간 안내,,신청하신 금액은 늦어도 ~OO내에 고객님의 계좌로 지급 됩니다. ,,,납입 계좌/카드 변경이나 등록은 어떻게 하면 되나요?,계좌/카드 정보는 어떤 항목을 준비하면 되나요?,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
22,중도분할금 접수,"1. 중도분할금 가능 계약 안내 및 대상 건 확인
   ※ 중도분할금 지급시기 미 도래 건 계약일 이후 신청 가능 안내 (계약 건 별 지급조건 정확히 확인하여 안내)",,"고객님께서 가입한 OOO 보험은 (지급 조건 설명)에 OOO자금이 지급되는 상품이기 때문에, OO월 OO일 부터 신청이 가능합니다.",,,연금 신청/변경은 어떻게 하면 되나요?,연금 지급 방식과 선택 가능 항목을 알려주세요.,전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,2. 만기수익자≠피보험자일 경우 생존확인 서류 발송 안내 ,,"본 계약의 피보험자분과 전화상 본인확인 절차(신분증 인증)를 먼저 진행한 후 접수가 가능합니다. 피보험자 OOO님의 연락처를 말씀 해주시겠습니까? 
[피보험자 통화 거절시]
계약 해당일 이후에 발행 된 피보험자 OOO님의 기본증명서 또는 가족관계증명서를 팩스로 먼저 보내 주신 후 신청이 가능합니다. (가족관계증명서 발송 시 관련 없는 가족들의 정보는 지우고 보내주셔도 됩니다)",,,주소나 연락처 변경은 어떻게 진행하면 되나요?,"본인인증은 어떻게 진행하며, 실패 시 어떻게 하면 되나요?",전체 처리가 완료되기까지 보통 얼마나 걸리나요?
,,3. 접수 전 확인 ( 신청  및 접수 후 취소 불가 안내),,신청 해 드리겠습니다. 접수 후 취소는 가능하지 않습니다. ,,,해지/취소 신청은 어떻게 하면 되나요?,해지 시 확인해야 할 조건이나 필요서류가 있나요?,환급금 지급 시점과 공제 항목을 알려주세요.
,,"4. 본인 인증 방법 안내 
※ 휴대폰 SMS 인증 시 본인인증 동의 필수
※ 2,000만원 초과 건은 휴대폰 SMS인증만 가능",,,,,주소나 연락처 변경은 어떻게 진행하면 되나요?,본인확인 방법과 필요한 정보를 알려주세요.,변경 반영은 언제부터 확인할 수 있나요?
,,5. FATCA/CRS 확인,,"실례지만, 고객님 국적이 어떻게 되십니까? 
(내국인인 경우) 혹시, 다른 나라에 세금을 납부하는 것이 있으십니까?",,,이 업무는 어떻게 신청하면 되나요?,처리 시 필요한 정보나 서류가 무엇인가요?,처리 방법과 소요시간을 안내해 주세요.
