No.,Question,Domain_최종,목차,매핑상태
247,"미납안내를 아웃 바운드 팀에서는 예금주나 피보험자에게도 안내하고 있는데, 이것도 미납안내 수신완료로 보나요?",계약정보,(면대면채널)보험 종목 변경,MATCHED
248,"계약자가 미성년자일 경우 부, 모 모두에게 연체안내가 되어야만 연체안내가 된 걸로 인정이 되나요?",계약정보,"증권, 약관 재발행",MATCHED
249,미납안내는 이루워지지 않았으나 실효 이후 진단을 받았어도 상관없나요?,계약정보,"증권, 약관 재발행",MATCHED
250,"전화상으로 미납안내 받은 적이 없는 건이데, 계약자가 스스로 실효가 된 걸 알고 자동부활 요청하는데 가능할까?",계약정보,자동부활,MATCHED
251,"실효 된지 1년 넘은 계약인데, 미납안내도 해지통지도 반송안내까지 모두 받지 못한 경우에도 자동부활 기한이 정해져있나요?",계약정보,자동부활,MATCHED
252,알림톡을 통해서만 미납안내 받은 경우 자동부활 안 되나요?,계약정보,자동부활,MATCHED
253,해지우편물이 AIA생명으로부터 오긴 했으나 내용확인 하지 않고 폐기 했다고 했을 경우에는 수령으로 봐야 하는지요?,계약정보,실손보험 의료급여 수급권자 확인,MATCHED
254,실제 거주지와 행정상의 주소지가 틀린 경우 해지안내장미수령시 어떻게 해야하나요?,계약정보,"증권, 약관 재발행",MATCHED
255,주민등록초본으로 이사 날짜가 확인 가능한가요?,계약정보,실손보험 의료급여 수급권자 확인,MATCHED
256,주민등록초본 사본 처리 가능한가요?,계약정보,"증권, 약관 재발행",MATCHED
257,카카오톡 전자문서로 aia생명에서 보내는게 있나요?,계약정보,"증권, 약관 재발행",MATCHED
258,실효안내문 등기배송 조회 어디서 하는지?,계약정보,"증권, 약관 재발행",MATCHED
259,자동부활이 뭐야,계약정보,자동부활,MATCHED
260,2013년 7월 5일에 가입한 우리가족변액종신 계약인데 자동부활 가능할까?,계약정보,자동부활,MATCHED
261,"자동부활 가능 기한이 경과되어 일반부활 안내 하였으나, 거부하고 자동부활 요구하는 경우 방법?",계약정보,자동부활,MATCHED
262,자동부활 보험료 입금일자에 따라 부활처리 일자 달라지는지?,계약정보,자동부활,MATCHED
263,부활 청약을 한 당일에 부활 보험료를 입금해야 하나요? 다음날 입금하면 어떻게 되나?,계약정보,(면대면채널)보험 종목 변경,MATCHED
264,일반부활도 심사 후 거절 될 수 있나요?,계약정보,일반부활,MATCHED
265,일반부활 가능 기간이 어떻게 되나요?,계약정보,일반부활,MATCHED
266,일반부활 접수 방법은?,계약정보,일반부활,MATCHED
267,일반부활 전화접수하는데 계약자가 미성년자이면 친권자 전화녹취로 가능할까?,계약정보,일반부활,MATCHED
268,필리핀에 체류중인데 부활가능한가요?,계약정보,"증권, 약관 재발행",MATCHED
269,계약자가 법인일 때 일반부활 방법,계약정보,일반부활,MATCHED
270,일반부활보험료 즉시출금 하려고 하는데 계약자 명의 계좌가 아니어도 가능한지?,계약정보,일반부활,MATCHED
271,부활보험료를 분할해서 납부할 수 있는 서비스가 있는지 알려줘,계약정보,(면대면채널)보험 종목 변경,MATCHED
272,계약자 또는 피보험자가 해외 체류 중인경우에는 일반부활 청약이 가능한가요?,계약정보,일반부활,MATCHED
273,부활 반송되면 기납입 보험료 다 돌려주는지 문의한 경우,계약정보,(면대면채널)보험 종목 변경,MATCHED
274,부활 후 증권 재발행이 되나요?,계약정보,"증권, 약관 재발행",MATCHED
275,계약자가 교도소 수감중인데 일반부활 접수 가능할까? 계약자와 피보험자가 같은 사람이야,계약정보,일반부활,MATCHED
276,"직업,운전 통지 상품은 부활 접수 전에 직업운전 변경 되었으면 직무직종 통지해야 하나요",계약정보,직종(직무)&운전차종 변경,MATCHED
277,부활접수 중인데 동일직업으로 근무지만 변경된 경우 직무직종 통지 후에 부활 접수 가능한가요?,계약정보,직종(직무)&운전차종 변경,MATCHED
278,꼭 필요한 건강보험 일반 부활 시 메디컬 언더라이팅 3개 질문 중 1개라도 예 가 있는 경우에는 부활접수 되는지요?,계약정보,(면대면채널)보험 종목 변경,MATCHED
279,신계약 청약시 대표친권으로 진행 안했는데 부활 시 대표친권으로 처리 가능한지?,계약정보,"증권, 약관 재발행",MATCHED
280,방카채널 가입건도 전화로 부활 가능한가요?,계약정보,"증권, 약관 재발행",MATCHED
281,계약자가 법인인데 전화로 일반부활 신청이 가능할까?,계약정보,일반부활,MATCHED
282,현명한엄마가 고른 AIA어린이보험 피보험자가 태아인 경우에 부활 접수 되나요?,계약정보,(면대면채널)보험 종목 변경,MATCHED
283,"청약 당시에는 내국인이었는데, 현재는 계약자 미국시민권자야. 이경우 일반부활 접수 가능할까?",계약정보,일반부활,MATCHED
284,"청약 당시에도 미국시민권자였다면, 일반부활 신청이 가능한거야?",계약정보,일반부활,MATCHED
285,일반부활보험료도 카드로 결제 가능한가요?,계약정보,일반부활,MATCHED
286,일반부활 시 보장개시일은 어떻게 적용되나요?,계약정보,일반부활,MATCHED
287,"어린이보험인데 부활 시 직업이 대학생으로 변경되어, 피보험자의 직업코드를 확인하십시오 라는 메시지가 팝업되는 경우 어떻게 해?",계약정보,(면대면채널)보험 종목 변경,MATCHED
288,지정한 자동이체 일에 이체가 안 되면 또 언제 출금이 되는지요?,보험료납입,계좌 자동이체,MATCHED
289,은행에서 자동이체 등록 시 언제 이체가 되나요?,보험료납입,계좌 자동이체,MATCHED
290,외국인이 국내 계좌 개설 가능하나요? 이 통장으로 자동이체도 가능 하나요?,보험료납입,계좌 자동이체,MATCHED
291,"기 승인 받은 계좌인데, 예금주 성명이 개명 되었습니다 .기 승인 계좌로 인식되나요?",보험료납입,계좌 자동이체,MATCHED
292,휴대폰소액결제로 추가납입 보험료도 결제되나요?,보험료납입,휴대폰 소액결제,MATCHED
293,휴대폰소액결제로 부활보험료도 결제되나요?,보험료납입,휴대폰 소액결제,MATCHED
294,당사에 보험이 여러건이면 휴대폰소액결제도 합산출금 되나요?,보험료납입,휴대폰 소액결제,MATCHED
295,휴대폰 결제 내역에 표기되는 문구는 어떻게 되나요 ?,보험료납입,휴대폰 소액결제,MATCHED
296,소액결제 시 인증번호 받고 이러한 절차는 없나요 ?,보험료납입,휴대폰 소액결제,MATCHED
297,휴대폰소액결제 납입자가 모집인인 경우 기준은 자동이체와 동일한가요?,보험료납입,휴대폰 소액결제,MATCHED
298,휴대폰소액결제 자동이체 연결에 대한 동의는 최초 1회 받으면 되나요?,보험료납입,휴대폰 소액결제,MATCHED
299,"휴대폰소액결제 자동이체의 계약자와 납입자가 상이한 경우, 통신사 순차연결 동의녹취는 납입자에게 동의를 획득하면 자동 연결 되나요?",보험료납입,휴대폰 소액결제,MATCHED
300,"소액결제 실패 시, 따로 알림이 오나요?",보험료납입,휴대폰 소액결제,MATCHED
301,"계약자가 MP가족이라는데, 이 경우 납입자를 MP로 할 수 없나요?",보험료납입,PUL 월 추가 납입,MATCHED
302,보장성보험은 대면채널이어도 카드 자동이체 다 되는거지?,보험료납입,카드 자동이체,MATCHED
303,개인사업자 카드로 자동이체 등록할 때 필요한 서류가 있어?,보험료납입,카드 자동이체,MATCHED
304,자동승계카드 종류 알려줘,보험료납입,카드 자동이체,MATCHED
305,휴대폰소액결제 승인일이 언제야?,보험료납입,휴대폰 소액결제,MATCHED
306,보험료 즉시이체 납입자 범위는?,보험료납입,PUL 월 추가 납입,MATCHED
307,(무) 안심플러스인덱스유니버셜 상품의 수시추가납입 조건은?,보험료납입,PUL 월 추가 납입,MATCHED
308,저축성 상품도 카드 RTB 가능한가요?,보험료납입,카드 자동이체,MATCHED
309,즉시이체는 아무때나 가능한가요?,보험료납입,계좌 자동이체,MATCHED
310,증권사 계좌로 RTB 가능한가요?,보험료납입,계좌 자동이체,MATCHED
311,계좌 rtb 불가한 은행?,보험료납입,계좌 자동이체,MATCHED
312,연금보험은 휴대폰소액결제로 보험료 납부 가능한가,보험료납입,휴대폰 소액결제,MATCHED
313,카드결제할때 얼마부터 할부 가능해?,보험료납입,카드 자동이체,MATCHED
314,알티비 안되는 은행이 어디야?,보험료납입,계좌 자동이체,MATCHED
315,외화계좌에서 rtb 할 수 있나요?,보험료납입,계좌 자동이체,MATCHED
316,외화계좌 자동이체 오라스화면 코드 알려줘,보험료납입,계좌 자동이체,MATCHED
317,AIA 평생 안심+달러 유니버셜 종신보험 카드결제 가능한가요?,보험료납입,카드 자동이체,MATCHED
318,즉시이체 가능한 업무는?,보험료납입,계좌 자동이체,MATCHED
319,즉시이체 가능한 최소 금액은?,보험료납입,계좌 자동이체,MATCHED
320,압류통장에서 즉시이체 가능?,보험료납입,계좌 자동이체,MATCHED
321,RTB 통장표기 내용은?,보험료납입,계좌 자동이체,MATCHED
322,현재 납입자가 본인의 계좌로 결제 요청하는 경우에도 녹취가 필요한지?,보험료납입,계좌 자동이체,MATCHED
323,유앤아이종신보험은 카드자동이체 등록 불가한가요?,보험료납입,카드 자동이체,MATCHED
324,RTB 시도 후 사용중인 증권번호입니다 라는 오류가 뜰 때 처리 방법은?,보험료납입,계좌 자동이체,MATCHED
325,"원화환산 납입 시, 자동이체로 납입된 보험료는 환산 기준일이 언제야?",보험료납입,계좌 자동이체,MATCHED
326,원화환산 납입된 초회보험료는 환산기준일자가 어떻게돼?,보험료납입,PUL 월 추가 납입,MATCHED
327,가상 계좌 발급 후 얼마동안 사용가능한가요?,보험료납입,계좌 자동이체,MATCHED
328,가상 계좌 입금가능시간은?,보험료납입,계좌 자동이체,MATCHED
329,보험료 납입중지 기능을 설명해줘,보험료납입,(의무납입기간 경과 건) 납입중지 신청,MATCHED
330,골든초이스연금 상품은 일시납입중지 신청을 언제부터 할 수 있어?,보험료납입,일시납입중지 신청,MATCHED
331,변액유니버셜 상품인데 납입중지 기간 설정 가능한가요?,보험료납입,(의무납입기간 경과 건) 납입중지 신청,MATCHED
332,납입중지하면 실효될 일은 없나요?,보험료납입,(의무납입기간 경과 건) 납입중지 신청,MATCHED
333,일시납입중지 최대 기한은?,보험료납입,(의무납입기간 경과 건) 납입중지 신청,MATCHED
334,납입중지 시 필수안내사항은?,보험료납입,(의무납입기간 경과 건) 납입중지 신청,MATCHED
335,에버래스팅 상품 월대체보험료는 어디서 충당하나요?,보험료납입,계좌 자동이체,MATCHED
336,뉴 부자아이변액유니버셜은 일시납입중지 신청 언제부터 가능한지?,보험료납입,일시납입중지 신청,MATCHED
337,"다이아몬드 웰스 변액연금 5년납 상품인데, 언제부터 일시납입중지 신청 가능한가요?",보험료납입,일시납입중지 신청,MATCHED
338,일시납입중지는 납입중지와 다른건가?,보험료납입,(의무납입기간 경과 건) 납입중지 신청,MATCHED
339,일시납입중지 시 자동이체 해지해야 하나요?,보험료납입,계좌 자동이체,MATCHED
340,일시납입중지 신청하면 전월 미납분부터 적용 가능?,보험료납입,일시납입중지 신청,MATCHED
341,일시납입중지 기간 중에 보험료납입 가능한가요,보험료납입,(의무납입기간 경과 건) 납입중지 신청,MATCHED
342,일시납입중지 해두었다면 실효는 안 되는거죠?,보험료납입,(의무납입기간 경과 건) 납입중지 신청,MATCHED
343,"계약자가 미성년자인 경우, 미납안내는 누구한테 해야 완료되나요?",보험료납입,계좌 자동이체,MATCHED
344,문자로 발송된 미납안내도 효력이 인정되는지요?,보험료납입,계좌 자동이체,MATCHED
345,미납 안내 완료로 보는 대상자는 어떻게 되나요? 수익자에게 안내 시에도 미납 안내 완료로 보나요?,보험료납입,계좌 자동이체,MATCHED
346,"프라임유니버셜상품인데, 해지환급금이 없어서 실효예정계약 건의 보험료 납부안내는 어떻게 하나요?",보험료납입,계좌 자동이체,MATCHED
347,실효방지를 위한 휴대폰 결제신청 서비스가 뭔가요?,보험료납입,휴대폰 소액결제,MATCHED
348,실효방지를 위한 휴대폰 결제신청 서비스는 타인 휴대폰으로도 신청가능한가요?,보험료납입,휴대폰 소액결제,MATCHED
349,유니버셜 상품의 실효조건은?,보험료납입,계좌 자동이체,MATCHED
350,관리 대출금은 무엇인가요?,보험료납입,계좌 자동이체,MATCHED
351,PUL 모든 상품은 관리 대출금이 있나요?,보험료납입,PUL 월 추가 납입,MATCHED
352,관리대출금 조회는 어디서 해?,보험료납입,계좌 자동이체,MATCHED
353,저축성보험도 실효방지 휴대폰결제서비스 신청 가능할까,보험료납입,휴대폰 소액결제,MATCHED
354,계약자 법인인 경우 미납안내를 누가 받아야 하나?,보험료납입,계좌 자동이체,MATCHED
355,보험료 입금마감일 +1일까지 연장되는 건 대상이 어떻게 되지?,보험료납입,가상계좌 등록 및 입금,MATCHED
356,"보험료납입방법을 직납으로 바꾸면, 2연체휴대폰결제 서비스는 어떻게 돼?",보험료납입,휴대폰 소액결제,MATCHED
357,법인계약도 실손보험료 환급제도 적용이 되나요,제지급,실손보험료 환급신청,MATCHED
358,실손보험료 환급 신청 조건이 뭔가요,제지급,실손보험료 환급신청,MATCHED
359,실손보험료환급 신청 후 반환은 얼마만에 되나요,제지급,실손보험료 환급신청,MATCHED
360,해지한 계약도 실손보험료환급 요청이 되나요,제지급,실손보험료 환급신청,MATCHED
361,실손보험료 환급 시 약 1~2주 소요 되는데 소요기간에 대한 이자 지급이 있나요?,제지급,실손보험료 환급신청,MATCHED
362,전화로 실손보험료 환급 신청 시 필요한 서류는?,제지급,실손보험료 환급신청,MATCHED
363,실손보험료 환급 시 반환 방법은?,제지급,실손보험료 환급신청,MATCHED
364,실효계약이나 만기계약도 실손보험료 환급 요청 되나요?,제지급,실손보험료 환급신청,MATCHED
365,실손보험료 환급 소멸시효는?,제지급,실손보험료 환급신청,MATCHED
366,실손보험료 환급에 해당되는 기간 기준은?,제지급,실손보험료 환급신청,MATCHED
367,"카드로 보험료 납부한 계약인데, 해외에 장기간 나가있어서 실손보험료환급 신청하면 보험료 환급은 뭘로 해주는 건가?",제지급,실손보험료 환급신청,MATCHED
368,해외 체류기간이 얼마나 돼야 실손보험료환급해 주는거야?,제지급,실손보험료 환급신청,MATCHED
369,피보험자 명의로 소득공제발행 가능한가요,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
370,계약자와 피보험자 따로 소득공제증명서 발행이 가능한가,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
371,고지의무위반으로 해약환급금 또는 기납입보험료 반환된 계약도 소득공제증명서 발행이 가능한가,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
372,해지환급금 산출 내역서 신청이 가능한 상품은?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
373,"비월납 계약의 경우, 소득공제대상액을 어떻게 계산해?",증명서 안내장,소득공제 납입 증명서 발급,MATCHED
374,부활 계약의 소득 세액공제 대상은?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
375,감액완납한 계약의 소득 세액공제 대상은?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
376,소득세액공제증명서 팩스로 발송하면 도착시간이 얼마나 걸려?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
377,"소득공제납입증명서 및 보험료 납입증명서, 잔액증명서등 AIA+에서 법인(or) 미셩년자도 신청 가능한가요?",증명서 안내장,소득공제 납입 증명서 발급,MATCHED
378,피보험자가 배우자인 보장성보험도 소득세액공제를 받을 수 있는지요?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
379,"소득공제받는 보험이 여러건인데, 한 건만 소득공제증명서 발행할 수 있나요?",증명서 안내장,소득공제 납입 증명서 발급,MATCHED
380,월별 또는 예를 들어 2월~10월까지 특정 월구간별로 소득공제증명서 발행 가능한가요?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
381,"계약자를 변경한 계약건인데, 계약자를 변경하기 전 납입내역 포함해서 소득공제납입증명서 발행 가능해요?",증명서 안내장,소득공제 납입 증명서 발급,MATCHED
382,카드로 납입한 보험료는 카드사용대금 소득공제 포함되나요?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
383,변액 상품 계속보험료 잔액증명서 발행 기준은?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
384,기준일을 과거로 해서 잔액증명서 발급 가능한가요?,증명서 안내장,잔액증명서 발급,MATCHED
385,전산의 해지(해약)환급금과 잔액증명서의 해지(해약)환급금이 왜 다르죠?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
386,월별 보험료 납입증명서 영문 발행 가능한가요?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
387,월별 보험료 납입증명서 납입방법 표기는 어떻게 되나요?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
388,명의변경 사실 확인서 이메일로 받을 수 있나요?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
389,연급 지급내역서 발행 기준은?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
390,계약자가 해지환급금산출내역서를 aia+에서 신청할 수 있나?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
391,연금지급내역서는 누가 신청할 수 있나요?,증명서 안내장,소득공제 납입 증명서 발급,MATCHED
392,우편물 수령지를 해외주소지로 등록안해주는 이유가 뭔가요,고객정보,주소/연락처 변경,MATCHED
393,계약자가 치매상태로 가족이 전화상 주소지변경을 요청하는 경우 변경처리 가능한가,고객정보,주소/연락처 변경,MATCHED
394,"계약의 체결을 위한 개인신용정보 수집.이용, 조회, 제공 동의 항목에서 수집 이용할 개인정보의 내용이 무엇인지?",고객정보,주소/연락처 변경,MATCHED
397,계약자가 주소가 바뀌면 회사에 왜 알려야 하는건지?,고객정보,주소/연락처 변경,MATCHED
398,계약자가 우편물 수령지를 회사와 자택 2곳으로 등록해 달라고 하는데 가능할까?,고객정보,주소/연락처 변경,MATCHED
399,우편물을 E-mail로 보내줄 수 있는지?,고객정보,주소/연락처 변경,MATCHED
400,우편물을 받기 싫다며 보내지 말라고 요청한 경우?,고객정보,주소/연락처 변경,MATCHED
401,계약자 주소지 정보에 업무지 주소만 등록할 수 있나요?,고객정보,주소/연락처 변경,MATCHED
402,계약자가 의식불명 상태로 가족이 전화 상 “주소변경”을 요청할 경우,고객정보,주소/연락처 변경,MATCHED
403,"고객정보제공불가 신청 시, 제공중지되는 정보 종류는?",고객정보,주소/연락처 변경,MATCHED
404,보험금 청구권 소멸시효는?,보험금 보장,보험금청구,MATCHED
407,실효된 계약도 증권재발행이 되나?,계약정보,"증권, 약관 재발행",MATCHED
408,해지계약 증권재발행 방법은?,계약정보,"증권, 약관 재발행",MATCHED
409,계약자 의식불명으로 상속인이 증권재발행 요청시 필요한 서류가 무엇인지?,계약정보,"증권, 약관 재발행",MATCHED
410,디지털다이렉트 가입한 경우 청약서 재발행이 가능한가,계약정보,"증권, 약관 재발행",MATCHED
411,계약자 치매일 경우 증권 재발행 시 신청권자 및 구비서류는?,계약정보,"증권, 약관 재발행",MATCHED
412,계약자 사망일 경우 증권 재발행 시 신청권자 및 구비서류는?,계약정보,"증권, 약관 재발행",MATCHED
413,"AIA+에서 증권재발행 신청 시, 수령 가능한 방법 과 소요 시간은?",계약정보,"증권, 약관 재발행",MATCHED
414,2023.02.01에 통신채널 계약했는데 상품 설명서 및 청약서 재발행 가능한가요?,계약정보,"증권, 약관 재발행",MATCHED
415,AIA+에서 고객이 직접 청약서 재발행 가능한가요?,계약정보,"증권, 약관 재발행",MATCHED
416,8채널 가입 계약건은 다이렉트사이트에서 가입확인서 같은거를 볼 수 있나?,계약정보,실손보험 의료급여 수급권자 확인,MATCHED
417,증권재발행 신청 이후에 취소가 가능한가?,계약정보,"증권, 약관 재발행",MATCHED
418,증권재발행하면 과거에 만기된 특약도 보여지나요?,계약정보,"증권, 약관 재발행",MATCHED
419,감액반제금 계약자계좌외 지급가능한가요(통신채널기준),계약정보,감액/특약삭제,MATCHED
420,미성년자 감액시 전화접수할 때 어떻게 하나요?,계약정보,감액/특약삭제,MATCHED
421,"비흡연 할인 중인 계약인데, 비흡연할인 적용 가능한 기준금액 밑으로 감액하면 할읹적용은 어떻게 돼?",계약정보,비 흡연 할인 특약,MATCHED
422,실효예정건인 변액상품을 말일자에 감액요청하는데 신청 가능할까?,계약정보,감액/특약삭제,MATCHED
423,"감액 접수건 승낙 완료가 되었는데, 감액취소가능한가요",계약정보,감액/특약삭제,MATCHED
424,변액상품 중 대출최저상환을 해야하는경우도 감액접수 가능한가요,계약정보,감액/특약삭제,MATCHED
425,감액 이후에 증액가능한가요,계약정보,감액/특약삭제,MATCHED
426,바이탈리티 적용 특약삭제시 멤버십도 종료되나요,계약정보,감액/특약삭제,MATCHED
427,납입면제건도 감액가능한가요,계약정보,감액/특약삭제,MATCHED
428,감액시 AML(자금세탁방지법) 대상은 누구인가요,계약정보,감액/특약삭제,MATCHED
429,철회기간에도 감액 가능한가요,계약정보,감액/특약삭제,MATCHED
430,감액 가능한 조건 알려주세요,계약정보,감액/특약삭제,MATCHED
431,비흡연할인특약 가입된 계약은 감액이 불가한가요?,계약정보,비 흡연 할인 특약,MATCHED
432,법인계약 감액신청 전화접수 방법은?,계약정보,감액/특약삭제,MATCHED
433,변액보험 계약변경 시 반제금 종가기준을 알려주세요,계약정보,(면대면채널)보험 종목 변경,MATCHED
434,감액도 비교안내 대상인가요?,계약정보,감액/특약삭제,MATCHED
435,실효건 감액가능한가요,계약정보,감액/특약삭제,MATCHED
436,대출이있을경우 감액접수 가능한가요,계약정보,감액/특약삭제,MATCHED
437,감액시 건강관리자금도 줄어드나요,계약정보,감액/특약삭제,MATCHED
438,건강플러스 할인율?,계약정보,비 흡연 할인 특약,MATCHED
439,청약 시 당뇨 고지했으면 건강플러스 할인 신청이 안되는지?,계약정보,비 흡연 할인 특약,MATCHED
440,건강플러스 할인 신청 전화접수 시 필요한 서류가 뭐야?,계약정보,비 흡연 할인 특약,MATCHED
441,실손의료비 상품 보험료 할인 신청대상은?,계약정보,비 흡연 할인 특약,MATCHED
442,의료급여수급권자는 보험료 할인이 되는 제도가 있다는데 그게 뭐야?,계약정보,실손보험 의료급여 수급권자 확인,MATCHED
443,내국인 성인 의료급여 수급권자 보험료 할인 우편 신청시 필요서류는?,계약정보,실손보험 의료급여 수급권자 확인,MATCHED
444,목표수익률 변경 대상 상품 및 변경 가능 수익률은?,변액 펀드,(면대면채널)펀드변경,MATCHED
445,목표수익률 변경 시 바로 적용되나요?,변액 펀드,(면대면채널)펀드변경,MATCHED
446,에버래스팅보험 약정보험료 변경할 수 있는 한도가 있어?,계약정보,(면대면채널)보험 종목 변경,MATCHED
447,최초 지수 연동 기간은?,계약정보,EIUL 지수 기간 연장,MATCHED
448,지수연동 기간 연장 최대 기한은?,계약정보,EIUL 지수 기간 연장,MATCHED
449,실효된 계약인데 연납을 월납으로 바꿀 수 있는지?,계약정보,"증권, 약관 재발행",MATCHED
450,납입주기변경은 누가 신청할 수 있나요?,계약정보,납입주기변경,MATCHED
451,납입주기를 월납에서 6개월납으로 변경하려면 현재 납입횟차가 어떻게 되어 있어야 하는지?,계약정보,직종(직무)&운전차종 변경,MATCHED
452,납입주기 변경이 불가능한 조건이 있나요?,계약정보,직종(직무)&운전차종 변경,MATCHED
453,자동이체 청구 중에 납입주기를 월납에서 3개월납으로 변경하면 어떻게 되나요?,계약정보,직종(직무)&운전차종 변경,MATCHED
454,납입기간 단축으로 추징금이 발생하면 어떻게 납부하지?,계약정보,EIUL 지수 기간 연장,MATCHED
455,건강플러스할인 대상 상품이 뭐지? 할인율이 몇 프로야?,계약정보,비 흡연 할인 특약,MATCHED
456,건강플러스 할인은 언제든지 신청해도 되는지?,계약정보,비 흡연 할인 특약,MATCHED
457,기대출금이 있는 계약은 납입기간 변경 시 대출금 상환해야 하나?,계약정보,직종(직무)&운전차종 변경,MATCHED
458,납입기간 변경 시 저축성 상품에 대해 추징금은 카드납부가 가능한가요?,계약정보,직종(직무)&운전차종 변경,MATCHED
459,의료수급권자 실손보험료 할인 신청은 계약자가 하는 거 맞죠?,계약정보,실손보험 의료급여 수급권자 확인,MATCHED
460,의료수급권자 상실하면 실손보험료 할인적용이 안되나요?,계약정보,실손보험 의료급여 수급권자 확인,MATCHED
461,의료급여 수급권 자격상실된 경우 보험회사에 신고를 해야 하나?,계약정보,실손보험 의료급여 수급권자 확인,MATCHED
462,"청약 당시 고혈압, 당뇨 고지 후 가입되었습니다. 현재는 이상이 없는데 건강할인신청 가능한가요?",계약정보,비 흡연 할인 특약,MATCHED
463,건강할인신청은 소급적용이 가능한가요?,계약정보,비 흡연 할인 특약,MATCHED
464,지급중지 설정된 계약의 납입주기를 전화상으로 변경 가능한가요?,계약정보,직종(직무)&운전차종 변경,MATCHED
465,계약자 요청에 의한 지급중지 설정 및 해제 방법을 알려주세요,계약정보,"증권, 약관 재발행",MATCHED
466,비흡연할인 신청조건을 알려주세요,계약정보,비 흡연 할인 특약,MATCHED
467,비흡연할인은 계약자가 신청하는건가요?,계약정보,비 흡연 할인 특약,MATCHED
468,비흡연할인 가능상품을 알려주세요,계약정보,비 흡연 할인 특약,MATCHED
469,"보험 대상자의 직업, 운전차종 변경통지 구비서류를 알려주세요",계약정보,직종(직무)&운전차종 변경,MATCHED
470,두가지 이상의 직업이 있는 경우 어떤 직업이 위험등급에 적용되나?,계약정보,"증권, 약관 재발행",MATCHED
471,갱신불원 접수 가능기간을 알려주세요,계약정보,갱신불원,MATCHED
472,미성년자계약 갱신불원 전화접수 방법은 어떻게 되나요?,계약정보,갱신불원,MATCHED
473,직무직종 통지 의무 대상 상품은 무엇인가요?,계약정보,직종(직무)&운전차종 변경,MATCHED
474,직무직종변경 신고를 할때 어떤 내용을 알려야 해?,계약정보,직종(직무)&운전차종 변경,MATCHED
475,직무직종 변경 통지를 해야하는 사람은 누구인가? 피보험자인가?,계약정보,직종(직무)&운전차종 변경,MATCHED
476,비 흡연 특약에 가입되어 있는데 흡연을 하게 되면 어떻게 되나요?,계약정보,비 흡연 할인 특약,MATCHED
477,비흡연 할인을 신청하려는데 전화로 접수하는 방법 알려줘,계약정보,비 흡연 할인 특약,MATCHED
478,"비흡연 받던 고객인데 흡연으로 변경한다고 하네요, 전화로 접수할때 어떤 것이 필요해?",계약정보,직종(직무)&운전차종 변경,MATCHED
479,펀드변경은 몇 번까지 신청할 수 있어?,변액 펀드,(면대면채널)펀드변경,MATCHED
480,펀드변경은 계약하고 언제부터 가능해?,변액 펀드,(면대면채널)펀드변경,MATCHED
481,펀드변경하면 적립금이전은 언제되는거야,변액 펀드,(면대면채널)펀드변경,MATCHED
482,부활 시 다시 펀드투입비율을 변경할 수 있나?,변액 펀드,(면대면채널)펀드변경,MATCHED
483,적립금이전 신청했는데 투입되기 전에 취소 가능할까?,변액 펀드,(면대면채널)펀드변경,MATCHED
484,펀드 자동재분배은 신청 후에 취소 할 수도 있고 다시 신청할 수도 있는 거죠?,변액 펀드,(면대면채널)펀드변경,MATCHED
485,펀드수익율 알림서비스 신청은 아무 계약이나 할 수있나,변액 펀드,(면대면채널)펀드변경,MATCHED
486,펀드변경과 펀드투입비율변경의 차이는?,변액 펀드,(면대면채널)펀드변경,MATCHED
487,펀드 운영갯수는 몇개까지 가능한가요,변액 펀드,(면대면채널)펀드변경,MATCHED
488,펀드변경 접수마감은 몇시까지야,변액 펀드,(면대면채널)펀드변경,MATCHED
489,"성인 계약자 전화로 펀드변경 신청 시, 필요 서류는?",변액 펀드,(면대면채널)펀드변경,MATCHED
490,"미성년자 계약자 우편으로 펀드변경 신청 시, 필요 서류는?",변액 펀드,(면대면채널)펀드변경,MATCHED
491,편드변경 비율 단위는?,변액 펀드,(면대면채널)펀드변경,MATCHED
492,자동재분배 신청 기준은?,변액 펀드,(면대면채널)펀드변경,MATCHED
493,자동재분배 신청 가능 횟수는?,변액 펀드,(면대면채널)펀드변경,MATCHED
494,펀드변경과 펀드투입비율변경 동시에 가능한지?,변액 펀드,(면대면채널)펀드변경,MATCHED
